2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:09,531 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52066)-4327031248
2025-04-13 20:19:09,542 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52068)-4327032736
2025-04-13 20:19:09,542 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52068)-4327032736
2025-04-13 20:19:09,553 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52070)-4327034224
2025-04-13 20:19:09,553 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52070)-4327034224
2025-04-13 20:19:09,565 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52072)-4327035712
2025-04-13 20:19:09,565 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52072)-4327035712
2025-04-13 20:19:09,578 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52074)-4327037200
2025-04-13 20:19:09,579 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52074)-4327037200
2025-04-13 20:19:09,590 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52076)-4327038688
2025-04-13 20:19:09,590 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52076)-4327038688
2025-04-13 20:19:09,611 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52078)-4327040176
2025-04-13 20:19:09,611 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52078)-4327040176
2025-04-13 20:19:09,635 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52080)-4327041664
2025-04-13 20:19:09,635 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52080)-4327041664
2025-04-13 20:19:09,712 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52082)-4327043152
2025-04-13 20:19:09,712 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52082)-4327043152
2025-04-13 20:19:09,795 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52084)-4327044592
2025-04-13 20:19:09,795 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52084)-4327044592
2025-04-13 20:19:09,830 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52090)-4327046032
2025-04-13 20:19:09,830 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52090)-4327046032
2025-04-13 20:19:09,901 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52092)-4327178656
2025-04-13 20:19:09,901 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52092)-4327178656
2025-04-13 20:19:09,960 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52094)-4327180144
2025-04-13 20:19:09,960 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52094)-4327180144
2025-04-13 20:19:09,971 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52096)-4327181632
2025-04-13 20:19:09,972 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52096)-4327181632
2025-04-13 20:19:09,985 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52098)-4327183072
2025-04-13 20:19:09,985 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52098)-4327183072
2025-04-13 20:19:09,996 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52100)-4327184512
2025-04-13 20:19:09,996 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52100)-4327184512
2025-04-13 20:19:10,029 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52104)-4327184944
2025-04-13 20:19:10,029 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52104)-4327184944
2025-04-13 20:19:10,041 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52106)-4327187440
2025-04-13 20:19:10,041 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52106)-4327187440
2025-04-13 20:19:10,053 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52108)-4327188928
2025-04-13 20:19:10,053 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52108)-4327188928
